case,a,b,c,d,paired_alpha,paired_beta,paired_gamma,paired_delta,source_class,source_table_printed_count,corollary_A_negative,corollary_B_pair_negative,tested_ordered_prime_triples,negative_witness_triples,nonnegative_triples,empirical_status,sample_witnesses_json
0000,0,0,0,0,2,2,2,2,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0001,0,0,0,1,2,2,2,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -7, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -5, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -16, ""exponent"": 10, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0002,0,0,0,2,2,2,2,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -4, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -5, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -28, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -16, ""exponent"": 9, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0010,0,0,1,0,2,2,1,2,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0011,0,0,1,1,2,2,1,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -6, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -6, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -6, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0012,0,0,1,2,2,2,1,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -18, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -17, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -17, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -17, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -17, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -12, ""exponent"": 7, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -18, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -17, ""exponent"": 8, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0020,0,0,2,0,2,2,0,2,source_remaining_conjecture_case,0,False,False,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -2, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -2, ""exponent"": 14, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -2, ""exponent"": 18, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 4, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 8, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 12, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
0021,0,0,2,1,2,2,0,1,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -3, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0022,0,0,2,2,2,2,0,0,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -7, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,5""}, {""coefficient"": -7, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,7""}, {""coefficient"": -7, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,11""}, {""coefficient"": -7, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,13""}, {""coefficient"": -7, ""exponent"": 5, ""polynomial"": ""A"", ""triple"": ""2,3,17""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,3""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,7""}, {""coefficient"": -2, ""exponent"": 6, ""polynomial"": ""A"", ""triple"": ""2,5,11""}]"
0100,0,1,0,0,2,1,2,2,source_corollary_negative,0,False,True,210,210,0,negative_witness_for_every_tested_ordered_triple,"[{""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,5""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,11""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,13""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,3,17""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,3""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,7""}, {""coefficient"": -1, ""exponent"": 2, ""polynomial"": ""B_pair"", ""triple"": ""2,5,11""}]"
